Data_Type,TargetType,Metric,Synth_Family,n_clusters,estimate,std_error,conf_low,conf_high,p_boot
hierarchical,Categorical,Accuracy,bn,15,0.146361946559113,0.01186899190665978,0.12373620213780487,0.17097220923446274,4e-4
hierarchical,Categorical,Accuracy,cart,15,-0.003806936111048819,0.0019160103586725707,-0.007610222262175183,-7.474066818822177e-5,0.0444
hierarchical,Categorical,Accuracy,parm,15,0.20445728443223102,0.010968515764756126,0.18546057965469978,0.22838131915259496,4e-4
hierarchical,Categorical,Accuracy,svm,15,-0.010768586317241004,0.004511153927628329,-0.0196373790625006,-0.00229280924152701,0.0092
hierarchical,Categorical,F1,bn,15,0.15746960547856192,0.014743759195256738,0.1298969715413264,0.18783410393426037,4e-4
hierarchical,Categorical,F1,cart,15,-0.0030418943824379197,0.0018403881549819724,-0.0066862219490899325,5.658950177642431e-4,0.0936
hierarchical,Categorical,F1,parm,15,0.24416984569080546,0.014235279683102103,0.2184944993417705,0.27367487364853355,4e-4
hierarchical,Categorical,F1,svm,15,-0.0071016261008284825,0.005264599357816813,-0.01765593276078785,0.002655377088063793,0.1772
hierarchical,Categorical,Specificity,bn,15,0.05888157548813541,0.007901923610724918,0.04360501579327296,0.07433396248066641,4e-4
hierarchical,Categorical,Specificity,cart,15,-0.0033976289222126524,0.0010637487591635129,-0.005550111482297477,-0.0013751222301653504,4e-4
hierarchical,Categorical,Specificity,parm,15,0.09182977271719373,0.009014860969943072,0.07560334563192136,0.11091440015759907,4e-4
hierarchical,Categorical,Specificity,svm,15,-0.01069238227205135,0.0035094643240280513,-0.018083755166286363,-0.004425107945229098,4e-4
hierarchical,Continuous,MAE,cart,15,-0.043753813647331205,0.009557413202973233,-0.06380694286348053,-0.026519973535550034,4e-4
hierarchical,Continuous,MAE,parm,15,0.5550514016316694,0.015202326988018237,0.52219472348358,0.5819797871590685,4e-4
hierarchical,Continuous,MAE,svm,15,0.2791512146254592,0.03966608506568838,0.20097970654119074,0.35514672242555895,4e-4
hierarchical,Continuous,RMSE,cart,15,-0.10563634374595358,0.01928881436090805,-0.1455853854370074,-0.06989079475228796,4e-4
hierarchical,Continuous,RMSE,parm,15,0.5245674780063176,0.017978778804172906,0.48657163112087454,0.5571694018107523,4e-4
hierarchical,Continuous,RMSE,svm,15,0.2987258384863161,0.03693654451365893,0.2246397095550651,0.36900946920916133,4e-4
hierarchical,Continuous,R_squared,cart,15,-0.06685605838522786,0.01463858681150772,-0.09722801657708574,-0.03998674205096062,4e-4
hierarchical,Continuous,R_squared,parm,15,0.6167275813792354,0.017482132199504702,0.5791876244828916,0.648335235942195,4e-4
hierarchical,Continuous,R_squared,svm,15,0.41764879234865415,0.05273069969306097,0.31239426417046406,0.5204600118175595,4e-4
parametric,Categorical,Accuracy,bn,15,0.10969451360985372,0.009802404163869424,0.09083672775938625,0.12919018777251662,4e-4
parametric,Categorical,Accuracy,cart,15,0.04677319842816156,0.0038796515568686515,0.03935768093741755,0.054705490280068665,4e-4
parametric,Categorical,Accuracy,parm,15,-0.0522626952039744,0.004753040733839961,-0.06175261313641582,-0.04331063167821228,4e-4
parametric,Categorical,Accuracy,svm,15,0.009804657529778077,0.007015842029659407,-0.0031841154388587674,0.024333549966808195,0.1516
parametric,Categorical,F1,bn,15,0.13722501763008899,0.010806158988565668,0.11677684181815999,0.15849747599092556,4e-4
parametric,Categorical,F1,cart,15,0.062257596307638156,0.005502801220685344,0.05178417302059182,0.07314550257502028,4e-4
parametric,Categorical,F1,parm,15,-0.06328122012920467,0.006790902018492262,-0.07754238531030622,-0.05106627141568054,4e-4
parametric,Categorical,F1,svm,15,0.01920869079131516,0.009471032031730374,0.0013154228011825263,0.0384410528824577,0.036
parametric,Categorical,Specificity,bn,15,0.041466684352002174,0.008866384629770841,0.02266849321969267,0.05723031634254544,4e-4
parametric,Categorical,Specificity,cart,15,0.01970083766419641,0.0035235351034757782,0.012313537219437797,0.02628466729208382,4e-4
parametric,Categorical,Specificity,parm,15,-0.023235309200047845,0.0029374829626914547,-0.029132744796040434,-0.017690239001881936,4e-4
parametric,Categorical,Specificity,svm,15,0.00262457932200725,0.002898147617915339,-0.003191933503476435,0.007889285354855599,0.3652
parametric,Continuous,MAE,cart,15,0.25415801528671433,0.04936191527570345,0.1605789608297075,0.3540666583076823,4e-4
parametric,Continuous,MAE,parm,15,-0.028309170078307803,0.006683384735020632,-0.0418317245041037,-0.01573928104357091,4e-4
parametric,Continuous,MAE,svm,15,0.06644789773110936,0.060863907648721384,-0.03649845608117524,0.19722965479599538,0.2744
parametric,Continuous,RMSE,cart,15,0.24491461145524218,0.04721713110239249,0.15551146272238442,0.3403696694189587,4e-4
parametric,Continuous,RMSE,parm,15,-0.028887119266073468,0.007176569560982422,-0.042826193083990584,-0.015175790888311504,4e-4
parametric,Continuous,RMSE,svm,15,0.1017836923306494,0.060964242728495564,-0.0011049631863169047,0.2328261803687253,0.054
parametric,Continuous,R_squared,cart,15,0.2438567491518858,0.03653456155740963,0.17444424084358476,0.3193156001359399,4e-4
parametric,Continuous,R_squared,parm,15,-0.050129610674679755,0.012842135295785415,-0.0751610445235615,-0.025656035999173453,4e-4
parametric,Continuous,R_squared,svm,15,0.17087961602164745,0.07684398041384868,0.03788058126894531,0.33459047350575444,0.0048
