Data_Type,TargetType,Synth_Family,n_clusters,estimate,std_error,conf_low,conf_high,p_boot
hierarchical,Categorical,bn,15,0.12090437584193678,0.010805215043755874,0.10034508028889756,0.14297914939462034,4e-4
hierarchical,Categorical,cart,15,-0.0034154864718997967,0.0014803308464193705,-0.00635455901810939,-5.35810119674306e-4,0.0176
hierarchical,Categorical,parm,15,0.1801523009467434,0.008480690495294261,0.16528966736425893,0.19828445694635455,4e-4
hierarchical,Categorical,svm,15,-0.009520864896706945,0.00413663384734994,-0.01796540537344518,-0.0017113016266257033,0.012
hierarchical,Continuous,cart,15,-0.07208207192617089,0.014277154466050013,-0.1018872381227967,-0.04567086033232863,4e-4
hierarchical,Continuous,parm,15,0.5654488203390742,0.01658929470844121,0.5299418189790005,0.5950234217710666,4e-4
hierarchical,Continuous,svm,15,0.3318419484868098,0.04274910427066247,0.24717685629434835,0.4139071394121752,4e-4
parametric,Categorical,bn,15,0.0961287385306483,0.007384827716215089,0.08165931705448069,0.11048280546300523,4e-4
parametric,Categorical,cart,15,0.04291054413333204,0.003552768218609978,0.03587936206529981,0.049801730320769066,4e-4
parametric,Categorical,parm,15,-0.04625974151107564,0.004510775290166751,-0.0554216908331961,-0.03768792652390421,4e-4
parametric,Categorical,svm,15,0.010545975881033495,0.005643027663312447,-1.8673703848155494e-4,0.02190298635740977,0.0544
parametric,Continuous,cart,15,0.24764312529794744,0.04387392824363051,0.16529142635780492,0.3376016360612087,4e-4
parametric,Continuous,parm,15,-0.03577530000635368,0.008830156867680137,-0.053213821038376234,-0.01882752403469536,4e-4
parametric,Continuous,svm,15,0.11303706869446874,0.06555023644400217,0.0019093690177294867,0.253653463288262,0.0468
