Data_Type,p,mc,TargetType,Target,Metric,Synthesis_Model,Synth_Family,matched_rel_orig,matched_delta,off_diagonal_delta,n_off_diagonal,diagonal_advantage,ceiling_constrained
hierarchical,6,1,Categorical,C1,Accuracy,bnhiersyn,bn,0.8574558048260741,0.14254419517392591,0.0074965913801337,3,0.13504760379379221,FALSE
hierarchical,6,1,Categorical,C1,Accuracy,carthiersyn,cart,1,0,-0.004720918174952179,3,0.004720918174952179,TRUE
hierarchical,6,1,Categorical,C1,Accuracy,parmhiersyn,parm,0.9557061503583435,0.0442938496416565,-0.08744368385005644,3,0.13173753349171294,FALSE
hierarchical,6,1,Categorical,C1,Accuracy,svmhiersyn,svm,0.9851353433647316,0.01373941602491673,0.0018921353458852667,3,0.011847280679031463,FALSE
hierarchical,6,1,Categorical,C1,F1,bnhiersyn,bn,0.8567218862094466,0.14327811379055344,0.007476849378739781,3,0.13580126441181367,FALSE
hierarchical,6,1,Categorical,C1,F1,carthiersyn,cart,1,0,-0.004804678128008769,3,0.004804678128008769,TRUE
hierarchical,6,1,Categorical,C1,F1,parmhiersyn,parm,0.9557218828828481,0.044278117117151905,-0.0996766879094038,3,0.14395480502655572,FALSE
hierarchical,6,1,Categorical,C1,F1,svmhiersyn,svm,0.9851271591557769,0.013685155517418779,6.275292972846167e-4,3,0.013057626220134162,FALSE
hierarchical,6,1,Categorical,C1,Specificity,bnhiersyn,bn,0.9711038749175103,0.028896125082489732,3.878260235202176e-4,3,0.028508299058969514,FALSE
hierarchical,6,1,Categorical,C1,Specificity,carthiersyn,cart,1,0,-7.51478025174531e-4,3,7.51478025174531e-4,TRUE
hierarchical,6,1,Categorical,C1,Specificity,parmhiersyn,parm,0.994954415975438,0.005045584024562011,-0.017846891559380476,3,0.022892475583942487,FALSE
hierarchical,6,1,Categorical,C1,Specificity,svmhiersyn,svm,0.9983179241719365,0.0015103288955846672,-6.421592178916356e-4,3,0.0021524881134763027,FALSE
hierarchical,6,1,Categorical,C2,Accuracy,bnhiersyn,bn,0.8453013503008397,0.1538570126453216,0.06572481409919965,3,0.08813219854612193,FALSE
hierarchical,6,1,Categorical,C2,Accuracy,carthiersyn,cart,1,0,-0.016223107517386634,3,0.016223107517386634,TRUE
hierarchical,6,1,Categorical,C2,Accuracy,parmhiersyn,parm,0.8078406305090643,0.1921593694909357,0.004695076880527757,3,0.18746429261040795,FALSE
hierarchical,6,1,Categorical,C2,Accuracy,svmhiersyn,svm,0.9830171799681116,0.016982820031888446,-0.014648788504721098,3,0.03163160853660954,FALSE
hierarchical,6,1,Categorical,C2,F1,bnhiersyn,bn,0.8201145617313861,0.1793950011691517,0.07541702248550378,3,0.10397797868364791,FALSE
hierarchical,6,1,Categorical,C2,F1,carthiersyn,cart,1,0,-0.01693587045392581,3,0.01693587045392581,TRUE
hierarchical,6,1,Categorical,C2,F1,parmhiersyn,parm,0.7770680989006802,0.22293190109931982,-0.00943948967496643,3,0.23237139077428626,FALSE
hierarchical,6,1,Categorical,C2,F1,svmhiersyn,svm,0.9838385316077479,0.016161468392252076,-0.00903292023989611,3,0.025194388632148186,FALSE
hierarchical,6,1,Categorical,C2,Specificity,bnhiersyn,bn,0.938810287967225,0.061068027569699444,0.02106582458795324,3,0.040002202981746206,FALSE
hierarchical,6,1,Categorical,C2,Specificity,carthiersyn,cart,1,0,-0.003968689413999992,3,0.003968689413999992,TRUE
hierarchical,6,1,Categorical,C2,Specificity,parmhiersyn,parm,0.9354365213369685,0.06338119860538279,0.0016750340721076581,3,0.061706164533275126,FALSE
hierarchical,6,1,Categorical,C2,Specificity,svmhiersyn,svm,0.9976033288768603,0.002396671123139682,0.003597937148713104,3,-0.0012012660255734222,FALSE
hierarchical,6,1,Categorical,C3,Accuracy,bnhiersyn,bn,0.7409156701403802,0.2588875073128112,0.09140443111354911,3,0.16748307619926206,FALSE
hierarchical,6,1,Categorical,C3,Accuracy,carthiersyn,cart,1,0,0.014400641466579949,3,-0.014400641466579949,TRUE
hierarchical,6,1,Categorical,C3,Accuracy,parmhiersyn,parm,0.7313387187498067,0.2686612812501933,0.06931746007536488,3,0.1993438211748284,FALSE
hierarchical,6,1,Categorical,C3,Accuracy,svmhiersyn,svm,0.9287923885674255,-0.17156937855979537,-0.10914812200399689,3,-0.062421256555798485,FALSE
hierarchical,6,1,Categorical,C3,F1,bnhiersyn,bn,0.7407273778847142,0.2587081144552648,0.09219844097432638,3,0.16650967348093842,FALSE
hierarchical,6,1,Categorical,C3,F1,carthiersyn,cart,1,0,0.013584487347660105,3,-0.013584487347660105,TRUE
hierarchical,6,1,Categorical,C3,F1,parmhiersyn,parm,0.7156234023193498,0.28437659768065016,-0.011809560325587241,3,0.2961861580062374,FALSE
hierarchical,6,1,Categorical,C3,F1,svmhiersyn,svm,0.9254659907580567,-0.17013758229004222,-0.11133411801648449,3,-0.05880346427355773,FALSE
hierarchical,6,1,Categorical,C3,Specificity,bnhiersyn,bn,0.920785703206935,0.07805174447782401,0.03422798639597987,3,0.04382375808184414,FALSE
hierarchical,6,1,Categorical,C3,Specificity,carthiersyn,cart,1,0,0.006132383142493469,3,-0.006132383142493469,TRUE
hierarchical,6,1,Categorical,C3,Specificity,parmhiersyn,parm,0.8873065837605774,0.11269341623942264,-0.007492025812462829,3,0.12018544205188547,FALSE
hierarchical,6,1,Categorical,C3,Specificity,svmhiersyn,svm,0.973299282640668,-0.07424874677705229,-0.06244094167734691,3,-0.01180780509970538,FALSE
hierarchical,6,1,Continuous,X1,MAE,carthiersyn,cart,1,0,-0.0236782340718229,2,0.0236782340718229,TRUE
hierarchical,6,1,Continuous,X1,MAE,parmhiersyn,parm,0.4299139740889628,0.5700860259110372,-0.004691616735458228,2,0.5747776426464954,FALSE
hierarchical,6,1,Continuous,X1,MAE,svmhiersyn,svm,0.9502746972880762,-0.4142783886246029,-0.06836277923613339,2,-0.34591560938846955,FALSE
hierarchical,6,1,Continuous,X1,RMSE,carthiersyn,cart,1,0,-0.01600877893412879,2,0.01600877893412879,TRUE
hierarchical,6,1,Continuous,X1,RMSE,parmhiersyn,parm,0.6141462573619967,0.3858537426380033,-5.540593962062648e-4,2,0.3864078020342096,FALSE
hierarchical,6,1,Continuous,X1,RMSE,svmhiersyn,svm,0.9409513707090732,-0.2784522181060308,-0.05846489097789172,2,-0.21998732712813912,FALSE
hierarchical,6,1,Continuous,X1,R_squared,carthiersyn,cart,1,0,-0.02674511057710588,2,0.02674511057710588,TRUE
hierarchical,6,1,Continuous,X1,R_squared,parmhiersyn,parm,0.37731048636719783,0.6226895136328021,-0.001123799051839014,2,0.6238133126846411,FALSE
hierarchical,6,1,Continuous,X1,R_squared,svmhiersyn,svm,0.885106863350453,-0.4450079411272355,-0.06461861971133522,2,-0.3803893214159003,FALSE
hierarchical,6,1,Continuous,X2,MAE,carthiersyn,cart,1,0,-0.002316008531879321,2,0.002316008531879321,TRUE
