Data_Type,TargetType,Synth_Family,n_target_metric_cases,n_ceiling_cases,n_informative_cases,ceiling_share
hierarchical,Categorical,bn,135,0,135,0
hierarchical,Categorical,cart,135,134,1,0.9925925925925926
hierarchical,Categorical,parm,135,3,132,0.022222222222222223
hierarchical,Categorical,svm,135,0,135,0
hierarchical,Continuous,cart,135,135,0,1
hierarchical,Continuous,parm,135,0,135,0
hierarchical,Continuous,svm,135,0,135,0
parametric,Categorical,bn,135,0,135,0
parametric,Categorical,cart,135,0,135,0
parametric,Categorical,parm,135,120,15,0.8888888888888888
parametric,Categorical,svm,135,1,134,0.007407407407407408
parametric,Continuous,cart,135,0,135,0
parametric,Continuous,parm,135,135,0,1
parametric,Continuous,svm,135,0,135,0
