Data_Type,TargetType,Synth_Family,n_target_metric_cases,n_ceiling_cases,n_informative_cases,ceiling_share,n_clusters,estimate,std_error,conf_low,conf_high,n_permutation_clusters,observed_advantage,null_mean,p_one_sided,p_two_sided
hierarchical,Categorical,bn,135,0,135,0,15,0.12090437584193678,0.010805215043755874,0.10034508028889756,0.14297914939462034,15,0.12090437584193678,-5.294507603011212e-4,2e-4,2e-4
hierarchical,Categorical,cart,135,134,1,0.9925925925925926,1,-0.03830562851190023,NA,NA,NA,1,-0.03830562851190023,7.83553939296374e-4,1,0.244
hierarchical,Categorical,parm,135,3,132,0.022222222222222223,15,0.18324408580222504,0.00782893677940768,0.1697380121898777,0.20037591506751473,15,0.18324408580222504,-6.943474365933141e-5,2e-4,2e-4
hierarchical,Categorical,svm,135,0,135,0,15,-0.009520864896706945,0.00413663384734994,-0.01796540537344518,-0.0017113016266257033,15,-0.009520864896706945,-3.3955455037160874e-4,0.73,0.5504
hierarchical,Continuous,cart,135,135,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hierarchical,Continuous,parm,135,0,135,0,15,0.5654488203390742,0.01658929470844121,0.5299418189790005,0.5950234217710666,15,0.5654488203390742,7.625715609560649e-5,2e-4,8e-4
hierarchical,Continuous,svm,135,0,135,0,15,0.3318419484868098,0.04274910427066247,0.24717685629434835,0.4139071394121752,15,0.3318419484868098,-2.767959350509229e-4,2e-4,4e-4
parametric,Categorical,bn,135,0,135,0,15,0.0961287385306483,0.007384827716215089,0.08165931705448069,0.11048280546300523,15,0.0961287385306483,-5.760417868517111e-4,2e-4,2e-4
parametric,Categorical,cart,135,0,135,0,15,0.04291054413333204,0.003552768218609978,0.03587936206529981,0.049801730320769066,15,0.04291054413333204,2.1831285479323293e-4,2e-4,2e-4
parametric,Categorical,parm,135,120,15,0.8888888888888888,6,-0.08923407931471201,0.03865938234585801,-0.16760013402838292,-0.01706922578215072,6,-0.08923407931471201,5.241332634145156e-5,0.9978,0.0026
parametric,Categorical,svm,135,1,134,0.007407407407407408,15,0.011762821613069904,0.006367433034066061,8.506201766961303e-5,0.024867785705209727,15,0.011762821613069904,3.7460019160435673e-4,0.276,0.5406
parametric,Continuous,cart,135,0,135,0,15,0.24764312529794744,0.04387392824363051,0.16529142635780492,0.3376016360612087,15,0.24764312529794744,-4.112127600856317e-4,2e-4,4e-4
parametric,Continuous,parm,135,135,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
parametric,Continuous,svm,135,0,135,0,15,0.11303706869446874,0.06555023644400217,0.0019093690177294867,0.253653463288262,15,0.11303706869446874,0.0012656329656343724,0.0898,0.1726
