"Data_Type","TargetType","Synthesis_Label","Metric","Prediction_Model","Median"
"hierarchical","Categorical","BN Syn.","Accuracy","bnpred",0.642906310694646
"hierarchical","Categorical","BN Syn.","Accuracy","cartpred",0.630695453952585
"hierarchical","Categorical","BN Syn.","Accuracy","parmpred",0.607101411625353
"hierarchical","Categorical","BN Syn.","Accuracy","svmpred",0.635299513824878
"hierarchical","Categorical","BN Syn.","F1","bnpred",0.618527418462388
"hierarchical","Categorical","BN Syn.","F1","cartpred",0.608545474157399
"hierarchical","Categorical","BN Syn.","F1","parmpred",0.595765951357032
"hierarchical","Categorical","BN Syn.","F1","svmpred",0.609131260781294
"hierarchical","Categorical","BN Syn.","Specificity","bnpred",0.886876766355592
"hierarchical","Categorical","BN Syn.","Specificity","cartpred",0.884673674300722
"hierarchical","Categorical","BN Syn.","Specificity","parmpred",0.881806177343216
"hierarchical","Categorical","BN Syn.","Specificity","svmpred",0.88658681465556
"hierarchical","Categorical","CART Syn.","Accuracy","bnpred",0.643049848100051
"hierarchical","Categorical","CART Syn.","Accuracy","cartpred",0.834099683149921
"hierarchical","Categorical","CART Syn.","Accuracy","parmpred",0.648499665499916
"hierarchical","Categorical","CART Syn.","Accuracy","svmpred",0.755999925674981
"hierarchical","Categorical","CART Syn.","F1","bnpred",0.62548756351931
"hierarchical","Categorical","CART Syn.","F1","cartpred",0.843650082294565
"hierarchical","Categorical","CART Syn.","F1","parmpred",0.63571304639471
"hierarchical","Categorical","CART Syn.","F1","svmpred",0.771636071956182
"hierarchical","Categorical","CART Syn.","Specificity","bnpred",0.881599022658305
"hierarchical","Categorical","CART Syn.","Specificity","cartpred",0.954261195045078
"hierarchical","Categorical","CART Syn.","Specificity","parmpred",0.890797658660068
"hierarchical","Categorical","CART Syn.","Specificity","svmpred",0.929152412776043
"hierarchical","Categorical","Simulated Data","Accuracy","bnpred",0.643507315157703
"hierarchical","Categorical","Simulated Data","Accuracy","cartpred",0.8454
"hierarchical","Categorical","Simulated Data","Accuracy","parmpred",0.652098395396896
"hierarchical","Categorical","Simulated Data","Accuracy","svmpred",0.7589
"hierarchical","Categorical","Simulated Data","F1","bnpred",0.632656456864339
"hierarchical","Categorical","Simulated Data","F1","cartpred",0.853447389117618
"hierarchical","Categorical","Simulated Data","F1","parmpred",0.642883647942221
"hierarchical","Categorical","Simulated Data","F1","svmpred",0.782174547229323
"hierarchical","Categorical","Simulated Data","Specificity","bnpred",0.881081335165728
"hierarchical","Categorical","Simulated Data","Specificity","cartpred",0.954600357298013
"hierarchical","Categorical","Simulated Data","Specificity","parmpred",0.890031281612646
"hierarchical","Categorical","Simulated Data","Specificity","svmpred",0.93074702855558
"hierarchical","Categorical","Parametric Syn.","Accuracy","bnpred",0.467754816057615
"hierarchical","Categorical","Parametric Syn.","Accuracy","cartpred",0.4917015980004
"hierarchical","Categorical","Parametric Syn.","Accuracy","parmpred",0.5556
"hierarchical","Categorical","Parametric Syn.","Accuracy","svmpred",0.537999509404457
"hierarchical","Categorical","Parametric Syn.","F1","bnpred",0.417540009328089
"hierarchical","Categorical","Parametric Syn.","F1","cartpred",0.460090039816413
"hierarchical","Categorical","Parametric Syn.","F1","parmpred",0.533316843786074
"hierarchical","Categorical","Parametric Syn.","F1","svmpred",0.508440223456541
"hierarchical","Categorical","Parametric Syn.","Specificity","bnpred",0.797184769839781
