Synth_Family,Synthesis_Model,Data_Type,p,Metric,TargetType,n_cases,n_reversals,reversal_rate,n_reversals_to_synth_family,share_reversals_to_synth_family,n_synth_family_becomes_winner,synth_family_becomes_winner_rate,mean_synth_family_rank_change,top1_agreement,spearman_rho,kendall_tau
bn,bnhiersyn,hierarchical,6,Accuracy,Categorical,75,61,0.8133333333333334,38,0.6229508196721312,38,0.5066666666666667,-1.3733333333333333,0.18666666666666668,0.30356725957288433,0.2326970325665978
bn,bnhiersyn,hierarchical,6,F1,Categorical,75,68,0.9066666666666666,43,0.6323529411764706,43,0.5733333333333334,-1.4666666666666666,0.09333333333333334,0.232,0.16
bn,bnhiersyn,hierarchical,6,Specificity,Categorical,75,60,0.8,34,0.5666666666666667,34,0.4533333333333333,-1.2533333333333334,0.2,0.248,0.18666666666666668
bn,bnhiersyn,hierarchical,12,Accuracy,Categorical,75,66,0.88,47,0.7121212121212122,47,0.6266666666666667,-1.72,0.12,0.18666666666666668,0.11111111111111112
bn,bnhiersyn,hierarchical,12,F1,Categorical,75,73,0.9733333333333334,55,0.7534246575342466,55,0.7333333333333333,-2.026666666666667,0.02666666666666667,-0.08,-0.11111111111111112
bn,bnhiersyn,hierarchical,12,Specificity,Categorical,75,68,0.9066666666666666,43,0.6323529411764706,43,0.5733333333333334,-1.7866666666666666,0.09333333333333334,0.064,0.02666666666666667
bn,bnhiersyn,hierarchical,18,Accuracy,Categorical,75,65,0.8666666666666667,65,1,65,0.8666666666666667,-2.7066666666666666,0.13333333333333333,-0.14986917049625031,-0.07012522041356456
bn,bnhiersyn,hierarchical,18,F1,Categorical,75,67,0.8933333333333333,64,0.9552238805970149,64,0.8533333333333334,-2.6933333333333334,0.10666666666666667,-0.21920250382958364,-0.14123633152467568
bn,bnhiersyn,hierarchical,18,Specificity,Categorical,75,62,0.8266666666666667,57,0.9193548387096774,57,0.76,-2.56,0.17333333333333334,-0.16431720010299267,-0.09495093791412858
bn,bnlinsyn,parametric,6,Accuracy,Categorical,75,38,0.5066666666666667,14,0.3684210526315789,14,0.18666666666666668,-0.84,0.49333333333333335,0.3169005929062177,0.27269703256659783
bn,bnlinsyn,parametric,6,F1,Categorical,75,46,0.6133333333333333,29,0.6304347826086957,29,0.38666666666666666,-1.68,0.38666666666666666,0.05866666666666667,0.05333333333333334
bn,bnlinsyn,parametric,6,Specificity,Categorical,75,48,0.64,25,0.5208333333333334,25,0.3333333333333333,-1.3466666666666667,0.36,0.12266666666666667,0.12444444444444444
bn,bnlinsyn,parametric,12,Accuracy,Categorical,75,30,0.4,13,0.43333333333333335,13,0.17333333333333334,-1.3066666666666666,0.6,0.224,0.19555555555555557
