dataset,synth_method,synth_seed,Synth_Family,Metric,Prediction_Model,Pred_Family,value_synth,rank_synth,best_synth,value_orig,rank_orig,best_orig
Adult,parmsyn,synmc1,parm,Accuracy,parmpred,parm,0.8738811096880508,1,TRUE,0.8459652063957693,3,FALSE
Adult,parmsyn,synmc1,parm,Specificity,parmpred,parm,0.7913717886572952,1,TRUE,0.5831103276909934,3,FALSE
Adult,parmsyn,synmc1,parm,F1,parmpred,parm,0.905361581913495,1,TRUE,0.9009840986832458,3,FALSE
Adult,parmsyn,synmc1,parm,Accuracy,cartpred,cart,0.8538562277500273,3,FALSE,0.8533916080918345,1,TRUE
Adult,parmsyn,synmc1,parm,Specificity,cartpred,cart,0.759476490547746,3,FALSE,0.5864427709534079,2,FALSE
Adult,parmsyn,synmc1,parm,F1,cartpred,cart,0.8904733964234328,3,FALSE,0.9061066843827918,1,TRUE
Adult,parmsyn,synmc1,parm,Accuracy,bnpred,bn,0.8401747423694703,4,FALSE,0.828332417254344,4,FALSE
Adult,parmsyn,synmc1,parm,Specificity,bnpred,bn,0.7182949997886133,4,FALSE,0.554059938390221,4,FALSE
Adult,parmsyn,synmc1,parm,F1,bnpred,bn,0.8815118506420137,4,FALSE,0.8893809930154937,4,FALSE
Adult,parmsyn,synmc1,parm,Accuracy,svmpred,svm,0.8637026636435062,2,FALSE,0.8468932036487207,2,FALSE
Adult,parmsyn,synmc1,parm,Specificity,svmpred,svm,0.7674260785264179,2,FALSE,0.5958931950381947,1,TRUE
Adult,parmsyn,synmc1,parm,F1,svmpred,svm,0.8981979729011018,2,FALSE,0.9012413092343875,2,FALSE
Adult,parmsyn,synmc2,parm,Accuracy,parmpred,parm,0.8752404656792592,1,TRUE,0.8459652063957693,3,FALSE
Adult,parmsyn,synmc2,parm,Specificity,parmpred,parm,0.7918361618709957,1,TRUE,0.5831103276909934,3,FALSE
Adult,parmsyn,synmc2,parm,F1,parmpred,parm,0.9064585347140883,1,TRUE,0.9009840986832458,3,FALSE
Adult,parmsyn,synmc2,parm,Accuracy,cartpred,cart,0.8531264715154185,3,FALSE,0.8533916080918345,1,TRUE
Adult,parmsyn,synmc2,parm,Specificity,cartpred,cart,0.76245685729774,2,FALSE,0.5864427709534079,2,FALSE
Adult,parmsyn,synmc2,parm,F1,cartpred,cart,0.8897027104787286,3,FALSE,0.9061066843827918,1,TRUE
Adult,parmsyn,synmc2,parm,Accuracy,bnpred,bn,0.835280951244881,4,FALSE,0.828332417254344,4,FALSE
Adult,parmsyn,synmc2,parm,Specificity,bnpred,bn,0.7374763795878031,4,FALSE,0.554059938390221,4,FALSE
Adult,parmsyn,synmc2,parm,F1,bnpred,bn,0.8762047756043492,4,FALSE,0.8893809930154937,4,FALSE
Adult,parmsyn,synmc2,parm,Accuracy,svmpred,svm,0.8535565717026733,2,FALSE,0.8468932036487207,2,FALSE
Adult,parmsyn,synmc2,parm,Specificity,svmpred,svm,0.7477225871939812,3,FALSE,0.5958931950381947,1,TRUE
Adult,parmsyn,synmc2,parm,F1,svmpred,svm,0.8909991740167881,2,FALSE,0.9012413092343875,2,FALSE
Adult,parmsyn,synmc3,parm,Accuracy,parmpred,parm,0.8770640401311794,1,TRUE,0.8459652063957693,3,FALSE
Adult,parmsyn,synmc3,parm,Specificity,parmpred,parm,0.7952317408605666,2,FALSE,0.5831103276909934,3,FALSE
Adult,parmsyn,synmc3,parm,F1,parmpred,parm,0.9077772263240023,1,TRUE,0.9009840986832458,3,FALSE
Adult,parmsyn,synmc3,parm,Accuracy,cartpred,cart,0.8583981679454424,2,FALSE,0.8533916080918345,1,TRUE
Adult,parmsyn,synmc3,parm,Specificity,cartpred,cart,0.7789517786620673,3,FALSE,0.5864427709534079,2,FALSE
Adult,parmsyn,synmc3,parm,F1,cartpred,cart,0.8931663025401574,2,FALSE,0.9061066843827918,1,TRUE
Adult,parmsyn,synmc3,parm,Accuracy,bnpred,bn,0.843236919006085,3,FALSE,0.828332417254344,4,FALSE
Adult,parmsyn,synmc3,parm,Specificity,bnpred,bn,0.8908693779065251,1,TRUE,0.554059938390221,4,FALSE
Adult,parmsyn,synmc3,parm,F1,bnpred,bn,0.7664199138969003,4,FALSE,0.8893809930154937,4,FALSE
Adult,parmsyn,synmc3,parm,Accuracy,svmpred,svm,0.8145350494912815,4,FALSE,0.8468932036487207,2,FALSE
Adult,parmsyn,synmc3,parm,Specificity,svmpred,svm,0.6753554224111045,4,FALSE,0.5958931950381947,1,TRUE
Adult,parmsyn,synmc3,parm,F1,svmpred,svm,0.8628608353149204,3,FALSE,0.9012413092343875,2,FALSE
Adult,parmsyn,synmc4,parm,Accuracy,parmpred,parm,0.8768982026792517,1,TRUE,0.8459652063957693,3,FALSE
Adult,parmsyn,synmc4,parm,Specificity,parmpred,parm,0.7919725893294175,1,TRUE,0.5831103276909934,3,FALSE
Adult,parmsyn,synmc4,parm,F1,parmpred,parm,0.9081613839996087,1,TRUE,0.9009840986832458,3,FALSE
Adult,parmsyn,synmc4,parm,Accuracy,cartpred,cart,0.8577018924650057,2,FALSE,0.8533916080918345,1,TRUE
