dataset,synth_method,Synth_Family,n_cases,n_same_best,same_best_rate,n_different_best,different_best_rate,n_synthetic_best_same_family,synthetic_best_same_family_rate,n_reversals_to_synth_family,share_reversals_to_synth_family,n_synth_family_becomes_winner,synth_family_becomes_winner_rate
Adult,bnsyn,bn,20,1,0.05,19,0.95,13,0.65,13,0.6842105263157895,13,0.65
Adult,cartsyn,cart,20,13,0.65,7,0.35,13,0.65,2,0.2857142857142857,2,0.1
Adult,parmsyn,parm,20,0,0,20,1,19,0.95,19,0.95,19,0.95
Adult,svmsyn,svm,20,10,0.5,10,0.5,0,0,0,0,0,0
BankMarketing,bnsyn,bn,20,9,0.45,11,0.55,4,0.2,4,0.36363636363636365,4,0.2
BankMarketing,cartsyn,cart,20,7,0.35,13,0.65,15,0.75,10,0.7692307692307693,10,0.5
BankMarketing,parmsyn,parm,20,11,0.55,9,0.45,15,0.75,5,0.5555555555555556,5,0.25
BankMarketing,svmsyn,svm,20,8,0.4,12,0.6,0,0,0,0,0,0
BikeSharing,cartsyn,cart,15,15,1,0,0,0,0,0,NA,0,0
BikeSharing,parmsyn,parm,15,15,1,0,0,15,1,0,NA,0,0
BikeSharing,svmsyn,svm,15,0,0,15,1,9,0.6,9,0.6,9,0.6
GermanCredit,bnsyn,bn,20,11,0.55,9,0.45,4,0.2,4,0.4444444444444444,4,0.2
GermanCredit,cartsyn,cart,20,13,0.65,7,0.35,6,0.3,3,0.42857142857142855,3,0.15
GermanCredit,parmsyn,parm,20,19,0.95,1,0.05,10,0.5,0,0,0,0
GermanCredit,svmsyn,svm,20,11,0.55,9,0.45,8,0.4,4,0.4444444444444444,4,0.2
