dataset,synth_method,synth_seed,Synth_Family,Metric,best_orig_models,best_synth_models,n_best_orig,n_best_synth,top1_agreement,synthetic_best_is_same_family,original_best_is_synth_family,synth_family_rank_orig,synth_family_rank_synth,spearman_rho,kendall_tau,ranking_reversal,reversal_to_synth_family,synth_family_becomes_winner,synth_family_rank_change
Adult,bnsyn,synmc1,bn,Accuracy,cartpred,bnpred,1,1,FALSE,TRUE,FALSE,4,1,-0.8,-0.6666666666666667,TRUE,TRUE,TRUE,-3
Adult,bnsyn,synmc1,bn,F1,cartpred,parmpred,1,1,FALSE,FALSE,FALSE,4,4,0.4,0.33333333333333337,TRUE,FALSE,FALSE,0
Adult,bnsyn,synmc1,bn,Specificity,svmpred,bnpred,1,1,FALSE,TRUE,FALSE,4,1,-1,-1,TRUE,TRUE,TRUE,-3
Adult,bnsyn,synmc2,bn,Accuracy,cartpred,bnpred,1,1,FALSE,TRUE,FALSE,4,1,-0.8,-0.6666666666666667,TRUE,TRUE,TRUE,-3
Adult,bnsyn,synmc2,bn,F1,cartpred,parmpred,1,1,FALSE,FALSE,FALSE,4,4,0.4,0.33333333333333337,TRUE,FALSE,FALSE,0
Adult,bnsyn,synmc2,bn,Specificity,svmpred,bnpred,1,1,FALSE,TRUE,FALSE,4,1,-1,-1,TRUE,TRUE,TRUE,-3
Adult,bnsyn,synmc3,bn,Accuracy,cartpred,bnpred,1,1,FALSE,TRUE,FALSE,4,1,-1,-1,TRUE,TRUE,TRUE,-3
Adult,bnsyn,synmc3,bn,F1,cartpred,bnpred,1,1,FALSE,TRUE,FALSE,4,1,-1,-1,TRUE,TRUE,TRUE,-3
Adult,bnsyn,synmc3,bn,Specificity,svmpred,bnpred,1,1,FALSE,TRUE,FALSE,4,1,-1,-1,TRUE,TRUE,TRUE,-3
Adult,bnsyn,synmc4,bn,Accuracy,cartpred,bnpred,1,1,FALSE,TRUE,FALSE,4,1,-0.8,-0.6666666666666667,TRUE,TRUE,TRUE,-3
Adult,bnsyn,synmc4,bn,F1,cartpred,bnpred,1,1,FALSE,TRUE,FALSE,4,1,-0.8,-0.6666666666666667,TRUE,TRUE,TRUE,-3
Adult,bnsyn,synmc4,bn,Specificity,svmpred,bnpred,1,1,FALSE,TRUE,FALSE,4,1,-1,-1,TRUE,TRUE,TRUE,-3
Adult,bnsyn,synmc5,bn,Accuracy,cartpred,bnpred,1,1,FALSE,TRUE,FALSE,4,1,-0.8,-0.6666666666666667,TRUE,TRUE,TRUE,-3
Adult,bnsyn,synmc5,bn,F1,cartpred,bnpred,1,1,FALSE,TRUE,FALSE,4,1,-0.8,-0.6666666666666667,TRUE,TRUE,TRUE,-3
Adult,bnsyn,synmc5,bn,Specificity,svmpred,bnpred,1,1,FALSE,TRUE,FALSE,4,1,-1,-1,TRUE,TRUE,TRUE,-3
Adult,cartsyn,synmc1,cart,Accuracy,cartpred,cartpred,1,1,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,0
Adult,cartsyn,synmc1,cart,F1,cartpred,cartpred,1,1,TRUE,TRUE,TRUE,1,1,0.8,0.6666666666666667,FALSE,FALSE,FALSE,0
Adult,cartsyn,synmc1,cart,Specificity,svmpred,cartpred,1,1,FALSE,TRUE,FALSE,2,1,0.6000000000000001,0.33333333333333337,TRUE,TRUE,TRUE,-1
Adult,cartsyn,synmc2,cart,Accuracy,cartpred,svmpred,1,1,FALSE,FALSE,TRUE,1,2,0.8,0.6666666666666667,TRUE,FALSE,FALSE,1
Adult,cartsyn,synmc2,cart,F1,cartpred,svmpred,1,1,FALSE,FALSE,TRUE,1,2,0.8,0.6666666666666667,TRUE,FALSE,FALSE,1
Adult,cartsyn,synmc2,cart,Specificity,svmpred,svmpred,1,1,TRUE,FALSE,FALSE,2,4,0.2,0,FALSE,FALSE,FALSE,2
Adult,cartsyn,synmc3,cart,Accuracy,cartpred,cartpred,1,1,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,0
Adult,cartsyn,synmc3,cart,F1,cartpred,cartpred,1,1,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,0
Adult,cartsyn,synmc3,cart,Specificity,svmpred,bnpred,1,1,FALSE,FALSE,FALSE,2,2,-0.4,-0.33333333333333337,TRUE,FALSE,FALSE,0
Adult,cartsyn,synmc4,cart,Accuracy,cartpred,cartpred,1,1,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,0
Adult,cartsyn,synmc4,cart,F1,cartpred,cartpred,1,1,TRUE,TRUE,TRUE,1,1,1,1,FALSE,FALSE,FALSE,0
Adult,cartsyn,synmc4,cart,Specificity,svmpred,cartpred,1,1,FALSE,TRUE,FALSE,2,1,0.6000000000000001,0.33333333333333337,TRUE,TRUE,TRUE,-1
Adult,cartsyn,synmc5,cart,Accuracy,cartpred,svmpred,1,1,FALSE,FALSE,TRUE,1,2,0.8,0.6666666666666667,TRUE,FALSE,FALSE,1
Adult,cartsyn,synmc5,cart,F1,cartpred,svmpred,1,1,FALSE,FALSE,TRUE,1,2,0.8,0.6666666666666667,TRUE,FALSE,FALSE,1
Adult,cartsyn,synmc5,cart,Specificity,svmpred,svmpred,1,1,TRUE,FALSE,FALSE,2,2,0.8,0.6666666666666667,FALSE,FALSE,FALSE,0
Adult,parmsyn,synmc1,parm,Accuracy,cartpred,parmpred,1,1,FALSE,TRUE,FALSE,3,1,0.2,0,TRUE,TRUE,TRUE,-2
Adult,parmsyn,synmc1,parm,F1,cartpred,parmpred,1,1,FALSE,TRUE,FALSE,3,1,0.2,0,TRUE,TRUE,TRUE,-2
Adult,parmsyn,synmc1,parm,Specificity,svmpred,parmpred,1,1,FALSE,TRUE,FALSE,3,1,0.4,0.33333333333333337,TRUE,TRUE,TRUE,-2
Adult,parmsyn,synmc2,parm,Accuracy,cartpred,parmpred,1,1,FALSE,TRUE,FALSE,3,1,0.2,0,TRUE,TRUE,TRUE,-2
Adult,parmsyn,synmc2,parm,F1,cartpred,parmpred,1,1,FALSE,TRUE,FALSE,3,1,0.2,0,TRUE,TRUE,TRUE,-2
Adult,parmsyn,synmc2,parm,Specificity,svmpred,parmpred,1,1,FALSE,TRUE,FALSE,3,1,0.2,0,TRUE,TRUE,TRUE,-2
Adult,parmsyn,synmc3,parm,Accuracy,cartpred,parmpred,1,1,FALSE,TRUE,FALSE,3,1,0,0,TRUE,TRUE,TRUE,-2
Adult,parmsyn,synmc3,parm,F1,cartpred,parmpred,1,1,FALSE,TRUE,FALSE,3,1,0.4,0.33333333333333337,TRUE,TRUE,TRUE,-2
Adult,parmsyn,synmc3,parm,Specificity,svmpred,bnpred,1,1,FALSE,FALSE,FALSE,3,2,-1,-1,TRUE,FALSE,FALSE,-1
Adult,parmsyn,synmc4,parm,Accuracy,cartpred,parmpred,1,1,FALSE,TRUE,FALSE,3,1,0,0,TRUE,TRUE,TRUE,-2
Adult,parmsyn,synmc4,parm,F1,cartpred,parmpred,1,1,FALSE,TRUE,FALSE,3,1,0,0,TRUE,TRUE,TRUE,-2
Adult,parmsyn,synmc4,parm,Specificity,svmpred,parmpred,1,1,FALSE,TRUE,FALSE,3,1,-0.4,-0.33333333333333337,TRUE,TRUE,TRUE,-2
Adult,parmsyn,synmc5,parm,Accuracy,cartpred,parmpred,1,1,FALSE,TRUE,FALSE,3,1,0.4,0.33333333333333337,TRUE,TRUE,TRUE,-2
Adult,parmsyn,synmc5,parm,F1,cartpred,parmpred,1,1,FALSE,TRUE,FALSE,3,1,0.4,0.33333333333333337,TRUE,TRUE,TRUE,-2
Adult,parmsyn,synmc5,parm,Specificity,svmpred,parmpred,1,1,FALSE,TRUE,FALSE,3,1,0.2,0,TRUE,TRUE,TRUE,-2
Adult,svmsyn,synmc1,svm,Accuracy,cartpred,cartpred,1,1,TRUE,FALSE,FALSE,2,2,1,1,FALSE,FALSE,FALSE,0
Adult,svmsyn,synmc1,svm,F1,cartpred,cartpred,1,1,TRUE,FALSE,FALSE,2,2,1,1,FALSE,FALSE,FALSE,0
Adult,svmsyn,synmc1,svm,Specificity,svmpred,cartpred,1,1,FALSE,FALSE,TRUE,1,2,0.6000000000000001,0.33333333333333337,TRUE,FALSE,FALSE,1
Adult,svmsyn,synmc2,svm,Accuracy,cartpred,cartpred,1,1,TRUE,FALSE,FALSE,2,2,1,1,FALSE,FALSE,FALSE,0
Adult,svmsyn,synmc2,svm,F1,cartpred,cartpred,1,1,TRUE,FALSE,FALSE,2,2,1,1,FALSE,FALSE,FALSE,0
Adult,svmsyn,synmc2,svm,Specificity,svmpred,cartpred,1,1,FALSE,FALSE,TRUE,1,2,0.6000000000000001,0.33333333333333337,TRUE,FALSE,FALSE,1
Adult,svmsyn,synmc3,svm,Accuracy,cartpred,cartpred,1,1,TRUE,FALSE,FALSE,2,2,1,1,FALSE,FALSE,FALSE,0
