dataset,synth_method,Synth_Family,Metric,n_cases,n_same_best,same_best_rate,n_different_best,different_best_rate,n_synthetic_best_same_family,synthetic_best_same_family_rate,n_reversals_to_synth_family,share_reversals_to_synth_family,n_synth_family_becomes_winner,synth_family_becomes_winner_rate,mean_synth_family_rank_change,spearman_rho,kendall_tau
Adult,bnsyn,bn,Accuracy,5,0,0,5,1,5,1,5,1,5,1,-3,-0.8400000000000001,-0.7333333333333334
Adult,bnsyn,bn,F1,5,0,0,5,1,3,0.6,3,0.6,3,0.6,-1.8,-0.36,-0.33333333333333337
Adult,bnsyn,bn,Specificity,5,0,0,5,1,5,1,5,1,5,1,-3,-1,-1
Adult,cartsyn,cart,Accuracy,5,3,0.6,2,0.4,3,0.6,0,0,0,0,0.4,0.92,0.8666666666666667
Adult,cartsyn,cart,F1,5,3,0.6,2,0.4,3,0.6,0,0,0,0,0.4,0.88,0.8
Adult,cartsyn,cart,Specificity,5,2,0.4,3,0.6,2,0.4,2,0.6666666666666666,2,0.4,0,0.36000000000000004,0.2
Adult,parmsyn,parm,Accuracy,5,0,0,5,1,5,1,5,1,5,1,-2,0.16,0.06666666666666668
Adult,parmsyn,parm,F1,5,0,0,5,1,5,1,5,1,5,1,-2,0.24000000000000002,0.13333333333333336
Adult,parmsyn,parm,Specificity,5,0,0,5,1,4,0.8,4,0.8,4,0.8,-1.8,-0.12,-0.2
Adult,svmsyn,svm,Accuracy,5,5,1,0,0,0,0,0,NA,0,0,0,1,1
Adult,svmsyn,svm,F1,5,5,1,0,0,0,0,0,NA,0,0,0,1,1
Adult,svmsyn,svm,Specificity,5,0,0,5,1,0,0,0,0,0,0,1.2,0.4000000000000001,0.2
BankMarketing,bnsyn,bn,Accuracy,5,2,0.4,3,0.6,2,0.4,2,0.6666666666666666,2,0.4,-1.6,0.28,0.26666666666666666
BankMarketing,bnsyn,bn,F1,5,3,0.6,2,0.4,2,0.4,2,1,2,0.4,-0.6,0.32,0.2666666666666667
BankMarketing,bnsyn,bn,Specificity,5,4,0.8,1,0.2,0,0,0,0,0,0,-2,0.16,0
BankMarketing,cartsyn,cart,Accuracy,5,0,0,5,1,5,1,5,1,5,1,-1,0.4800000000000001,0.2666666666666667
BankMarketing,cartsyn,cart,F1,5,0,0,5,1,5,1,5,1,5,1,-1,0.7200000000000001,0.6000000000000001
BankMarketing,cartsyn,cart,Specificity,5,5,1,0,0,5,1,0,NA,0,0,0,0.88,0.8
BankMarketing,parmsyn,parm,Accuracy,5,5,1,0,0,5,1,0,NA,0,0,0,0.56,0.46666666666666673
BankMarketing,parmsyn,parm,F1,5,5,1,0,0,5,1,0,NA,0,0,0,0.64,0.5333333333333333
BankMarketing,parmsyn,parm,Specificity,5,0,0,5,1,5,1,5,1,5,1,-1,0.4,0.2666666666666667
BankMarketing,svmsyn,svm,Accuracy,5,1,0.2,4,0.8,0,0,0,0,0,0,0.2,-0.08,0
BankMarketing,svmsyn,svm,F1,5,1,0.2,4,0.8,0,0,0,0,0,0,-0.8,0.15999999999999998,0.2
BankMarketing,svmsyn,svm,Specificity,5,5,1,0,0,0,0,0,NA,0,0,-0.6,0.56,0.4666666666666667
BikeSharing,cartsyn,cart,MAE,5,5,1,0,0,0,0,0,NA,0,0,0,1,1
BikeSharing,cartsyn,cart,RMSE,5,5,1,0,0,0,0,0,NA,0,0,0,1,1
BikeSharing,cartsyn,cart,R_squared,5,5,1,0,0,0,0,0,NA,0,0,0,1,1
BikeSharing,parmsyn,parm,MAE,5,5,1,0,0,5,1,0,NA,0,0,0,1,1
BikeSharing,parmsyn,parm,RMSE,5,5,1,0,0,5,1,0,NA,0,0,0,1,1
BikeSharing,parmsyn,parm,R_squared,5,5,1,0,0,5,1,0,NA,0,0,0,1,1
BikeSharing,svmsyn,svm,MAE,5,0,0,5,1,5,1,5,1,5,1,-1,-0.5,-0.33333333333333337
BikeSharing,svmsyn,svm,RMSE,5,0,0,5,1,2,0.4,2,0.4,2,0.4,-0.4,-0.8,-0.7333333333333334
BikeSharing,svmsyn,svm,R_squared,5,0,0,5,1,2,0.4,2,0.4,2,0.4,-0.4,-0.8,-0.7333333333333334
GermanCredit,bnsyn,bn,Accuracy,5,3,0.6,2,0.4,2,0.4,2,1,2,0.4,-0.4,0.64,0.5333333333333334
GermanCredit,bnsyn,bn,F1,5,4,0.8,1,0.2,1,0.2,1,1,1,0.2,0,0.84,0.8
GermanCredit,bnsyn,bn,Specificity,5,4,0.8,1,0.2,1,0.2,1,1,1,0.2,-1.2,0.56,0.46666666666666673
GermanCredit,cartsyn,cart,Accuracy,5,1,0.2,4,0.8,3,0.6,3,0.75,3,0.6,-1.6,0.44,0.33333333333333337
GermanCredit,cartsyn,cart,F1,5,4,0.8,1,0.2,0,0,0,0,0,0,-0.2,0.72,0.6666666666666667
GermanCredit,cartsyn,cart,Specificity,5,3,0.6,2,0.4,3,0.6,0,0,0,0,0.4,0.64,0.5333333333333334
GermanCredit,parmsyn,parm,Accuracy,5,5,1,0,0,5,1,0,NA,0,0,0,0.88,0.8
GermanCredit,parmsyn,parm,F1,5,5,1,0,0,5,1,0,NA,0,0,0,0.76,0.6666666666666667
GermanCredit,parmsyn,parm,Specificity,5,4,0.8,1,0.2,0,0,0,0,0,0,0.6,0.8,0.7333333333333334
GermanCredit,svmsyn,svm,Accuracy,5,2,0.4,3,0.6,2,0.4,2,0.6666666666666666,2,0.4,-2,0.24000000000000002,0.2
GermanCredit,svmsyn,svm,F1,5,2,0.4,3,0.6,2,0.4,2,0.6666666666666666,2,0.4,-1.2,0.48000000000000004,0.4
GermanCredit,svmsyn,svm,Specificity,5,3,0.6,2,0.4,0,0,0,0,0,0,-0.4,0.56,0.46666666666666673
