Data_Type,TargetType,Metric,Synth_Family,Pred_Family,same_family,n_clusters,estimate,std_error,conf_low,conf_high,p_boot
hierarchical,Categorical,Accuracy,bn,bn,TRUE,15,0.2210680237677745,0.012705436840294881,0.19741667744105043,0.24689178896374778,4e-4
hierarchical,Categorical,Accuracy,bn,cart,FALSE,15,-0.01250452718565637,0.0024233994145768825,-0.017550122436994504,-0.00801187249673498,4e-4
hierarchical,Categorical,Accuracy,bn,parm,FALSE,15,0.17142566411989626,0.01478370386282645,0.14607534191045055,0.20401274602636238,4e-4
hierarchical,Categorical,Accuracy,bn,svm,FALSE,15,0.06519709469174464,0.00786202615502153,0.05005244770101784,0.08098270215109171,4e-4
hierarchical,Categorical,Accuracy,cart,bn,FALSE,15,0.007765927182151736,0.0025257782256891312,0.00310238131648395,0.012888413299864327,4e-4
hierarchical,Categorical,Accuracy,cart,cart,TRUE,15,-6.619386287873594e-6,6.376137296876557e-6,-1.985815886362078e-5,0,0.698
hierarchical,Categorical,Accuracy,cart,parm,FALSE,15,0.005405057380846124,0.00219523180700908,0.0012251587969879284,0.00967759876935887,0.0088
hierarchical,Categorical,Accuracy,cart,svm,FALSE,15,-0.0017700343887150241,0.0015382335827918803,-0.004964941648307107,0.0010577582364230788,0.24
hierarchical,Categorical,Accuracy,parm,bn,FALSE,15,0.06483746734970607,0.014767648775457633,0.03571624589714084,0.09313067865529466,4e-4
hierarchical,Categorical,Accuracy,parm,cart,FALSE,15,-0.08101228090328819,0.008589869448533878,-0.09828875208265518,-0.06432115814580716,4e-4
hierarchical,Categorical,Accuracy,parm,parm,TRUE,15,0.2163249507894316,0.014950454594957205,0.19065926823618992,0.24860032618998504,4e-4
hierarchical,Categorical,Accuracy,parm,svm,FALSE,15,0.051777812625183856,0.006171132790626856,0.040268120011225,0.06441858656052867,4e-4
hierarchical,Categorical,Accuracy,svm,bn,FALSE,15,0.07641349449237317,0.01627101966665461,0.04303074327315614,0.10622542765571336,4e-4
hierarchical,Categorical,Accuracy,svm,cart,FALSE,15,-0.01865116182205952,0.0027211792144786005,-0.023934273549201492,-0.013406155239293954,4e-4
hierarchical,Categorical,Accuracy,svm,parm,FALSE,15,0.1105478133416885,0.015796332256021485,0.0774289575656082,0.13907178583915314,4e-4
hierarchical,Categorical,Accuracy,svm,svm,TRUE,15,0.045334795686759716,0.011435378354633114,0.021817286712315746,0.06677234721141699,4e-4
hierarchical,Categorical,F1,bn,bn,TRUE,15,0.23072080234865625,0.015291677356079237,0.2015798083286955,0.26123726352893495,4e-4
hierarchical,Categorical,F1,bn,cart,FALSE,15,-0.01783745134674763,0.003073866625977404,-0.024268669437761545,-0.012253693836705418,4e-4
hierarchical,Categorical,F1,bn,parm,FALSE,15,0.17684618118157006,0.016961212378013433,0.14743981015205437,0.21379812501574175,4e-4
hierarchical,Categorical,F1,bn,svm,FALSE,15,0.06074486077546052,0.008262316245647208,0.04496642793646775,0.07729349663102955,4e-4
hierarchical,Categorical,F1,cart,bn,FALSE,15,0.006909023517220446,0.00273871347872005,0.0016553766349397068,0.01226073166902987,0.0068
hierarchical,Categorical,F1,cart,cart,TRUE,15,0,0,0,0,1
hierarchical,Categorical,F1,cart,parm,FALSE,15,0.004654768055590398,0.0021603607064538664,4.942408616299074e-4,0.00888613278436608,0.0252
hierarchical,Categorical,F1,cart,svm,FALSE,15,-0.0024381084254970855,0.001475014938189358,-0.005552429306777661,2.330018269153421e-4,0.0768
hierarchical,Categorical,F1,parm,bn,FALSE,15,0.010629572666425467,0.013474461331268039,-0.016452669476970144,0.03657711053873867,0.4296
hierarchical,Categorical,F1,parm,cart,FALSE,15,-0.10926296035295456,0.010552877725374383,-0.12967278408837213,-0.08848605893859643,4e-4
hierarchical,Categorical,F1,parm,parm,TRUE,15,0.22354767545292262,0.016681883735607833,0.1936414989072993,0.2590913822812642,4e-4
hierarchical,Categorical,F1,parm,svm,FALSE,15,0.03676687697288051,0.0060038661372092605,0.025378398884141957,0.04861091045684212,4e-4
hierarchical,Categorical,F1,svm,bn,FALSE,15,0.07150925873066974,0.016655258813386233,0.0376139374373489,0.10186917672874693,4e-4
hierarchical,Categorical,F1,svm,cart,FALSE,15,-0.02215792057885684,0.003259258298445397,-0.02850747898720153,-0.015910459873135163,4e-4
hierarchical,Categorical,F1,svm,parm,FALSE,15,0.11276141771671623,0.016237502443672173,0.07883285487212001,0.14212022534510932,4e-4
hierarchical,Categorical,F1,svm,svm,TRUE,15,0.04693595918868123,0.01179736977486983,0.022771545146639004,0.06916463935472648,8e-4
