Synth_Family,Data_Type,p,TargetType,Target,Metric,n_synthesis_draws
svm,hierarchical,6,Continuous,X1,MAE,25
svm,hierarchical,6,Continuous,X1,RMSE,25
svm,hierarchical,6,Continuous,X1,R_squared,25
svm,parametric,6,Continuous,X1,MAE,25
svm,parametric,6,Continuous,X1,RMSE,20
svm,parametric,6,Continuous,X1,R_squared,20
svm,parametric,6,Continuous,X2,MAE,16
svm,hierarchical,6,Categorical,C3,Accuracy,15
svm,hierarchical,6,Categorical,C3,F1,15
svm,parametric,6,Continuous,X2,RMSE,15
svm,parametric,6,Continuous,X2,R_squared,15
svm,hierarchical,6,Categorical,C3,Specificity,10
svm,parametric,6,Categorical,C2,Accuracy,10
svm,parametric,6,Categorical,C2,F1,10
svm,parametric,6,Categorical,C2,Specificity,10
svm,hierarchical,18,Categorical,C3,Specificity,9
svm,hierarchical,18,Categorical,C3,Accuracy,8
svm,hierarchical,18,Categorical,C3,F1,8
svm,parametric,12,Categorical,C4,Specificity,8
svm,parametric,12,Categorical,C6,F1,8
svm,parametric,6,Categorical,C3,F1,7
svm,parametric,6,Categorical,C1,F1,6
svm,parametric,6,Categorical,C3,Accuracy,6
svm,parametric,18,Categorical,C9,F1,6
parm,parametric,6,Categorical,C1,Specificity,5
svm,hierarchical,6,Categorical,C1,Accuracy,5
svm,hierarchical,6,Categorical,C1,F1,5
svm,hierarchical,6,Categorical,C1,Specificity,5
svm,hierarchical,12,Categorical,C4,Accuracy,5
svm,hierarchical,12,Categorical,C4,F1,5
svm,hierarchical,12,Categorical,C4,Specificity,5
svm,hierarchical,12,Categorical,C6,Accuracy,5
svm,hierarchical,12,Categorical,C6,F1,5
svm,hierarchical,12,Categorical,C6,Specificity,5
svm,hierarchical,18,Categorical,C6,Accuracy,5
svm,hierarchical,18,Categorical,C6,F1,5
svm,hierarchical,18,Categorical,C6,Specificity,5
svm,parametric,6,Categorical,C1,Accuracy,5
svm,parametric,6,Categorical,C3,Specificity,5
svm,parametric,12,Categorical,C2,Accuracy,5
svm,parametric,12,Categorical,C2,Specificity,5
svm,parametric,12,Categorical,C6,Accuracy,5
svm,parametric,12,Categorical,C6,Specificity,5
svm,parametric,12,Continuous,X2,MAE,5
svm,parametric,12,Continuous,X2,RMSE,5
svm,parametric,12,Continuous,X2,R_squared,5
svm,parametric,12,Continuous,X4,MAE,5
svm,parametric,18,Categorical,C6,Accuracy,5
svm,parametric,18,Categorical,C6,F1,5
svm,parametric,18,Categorical,C6,Specificity,5
bn,parametric,6,Categorical,C1,Specificity,4
cart,parametric,6,Categorical,C2,Specificity,4
parm,parametric,6,Categorical,C2,F1,4
svm,parametric,6,Categorical,C1,Specificity,4
svm,parametric,18,Categorical,C9,Accuracy,4
bn,parametric,6,Categorical,C2,F1,3
parm,parametric,6,Categorical,C1,F1,3
parm,parametric,6,Categorical,C3,Specificity,3
parm,parametric,18,Categorical,C6,Specificity,3
svm,parametric,18,Categorical,C9,Specificity,3
bn,hierarchical,18,Categorical,C3,Specificity,2
bn,parametric,6,Categorical,C2,Specificity,2
bn,parametric,6,Categorical,C3,Specificity,2
bn,parametric,12,Categorical,C6,Specificity,2
cart,hierarchical,18,Categorical,C9,Accuracy,2
cart,parametric,6,Categorical,C3,Specificity,2
parm,parametric,6,Categorical,C1,Accuracy,2
parm,parametric,12,Categorical,C6,Specificity,2
parm,parametric,18,Categorical,C6,Accuracy,2
parm,parametric,18,Categorical,C6,F1,2
svm,parametric,12,Continuous,X4,RMSE,2
svm,parametric,12,Continuous,X4,R_squared,2
svm,parametric,18,Continuous,X3,RMSE,2
svm,parametric,18,Continuous,X3,R_squared,2
bn,hierarchical,6,Categorical,C3,F1,1
bn,parametric,6,Categorical,C3,F1,1
cart,parametric,6,Categorical,C3,F1,1
cart,parametric,12,Categorical,C6,Specificity,1
parm,parametric,6,Categorical,C2,Accuracy,1
parm,parametric,6,Categorical,C2,Specificity,1
